"UO - Órgão Superior",,"Função Governo",,"Subfunção Governo",,"Ação Governo",,"JAN/2018","FEV/2018","MAR/2018","JAN/2017","FEV/2017","MAR/2017","ABR/2017","MAI/2017","JUN/2017","JUL/2017","AGO/2017","SET/2017","OUT/2017","NOV/2017","DEZ/2017","JAN/2016","FEV/2016","MAR/2016","ABR/2016","MAI/2016","JUN/2016","JUL/2016","AGO/2016","SET/2016","OUT/2016","NOV/2016","DEZ/2016"
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","19","CIENCIA E TECNOLOGIA","571","DESENVOLVIMENTO CIENTIFICO","13CL","CONSTRUCAO DE FONTE DE LUZ SINCROTRON DE 4. GERACAO - SIRIUS","","70.000.000,00","35.000.000,00","","","","","24.800.000,00","105.200.000,00","59.381.894,00","0,00","0,00","60.000.000,00","25.318.106,00","51.233.705,00","","","","","","","","","","","","181.962.978,00"
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","19","CIENCIA E TECNOLOGIA","572","DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA","12P1","IMPLANTACAO DO REATOR MULTIPROPOSITO BRASILEIRO","118.167,03","84.124,95","196.971,12","1.035,46","20.072,70","1.172.605,87","139.654,21","29.090,05","1.140.478,79","219.670,52","67.752,24","14.585,73","74.877,26","13.269,07","7.581.208,30","","","","192,45","26.879,82","15.502,33","15.625,22","19.302,13","24.446,78","31.557,30","4.844,93","2.988.096,77"
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","19","CIENCIA E TECNOLOGIA","663","MINERACAO","13CP","AMPLIACAO DA UNIDADE DE CONCENTRADO DE URANIO EM CAETITE NO","1.089.682,36","474.843,08","599.536,02","751.734,75","4.434.856,23","4.145.066,00","2.273.730,47","1.699.990,68","1.816.645,34","6.084.910,48","2.768.516,98","1.445.676,53","1.665.963,68","1.764.303,22","781.494,37","","","","","83.594,80","659.026,30","870.284,11","994.965,04","1.193.999,36","1.117.282,56","1.765.013,85","1.579.885,31"
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","24","COMUNICACOES","126","TECNOLOGIA DA INFORMACAO","212N","IMPLEMENTACAO DE PROJETOS DE CIDADES DIGITAIS","718.688,85","10.608,18","244.243,91","","","","","","","874.656,19","273.989,65","336.060,65","230.956,72","3.571,14","734.212,92","","","","","","","","","","","",""
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00P8","PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEI","","16.000.000,00","42.000.000,00","","","","","117.000.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","","","","","","","","","",""
"24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00PA","PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEI","","19.000.000,00","0,00","","","","","","","","","","","","50.000.000,00","","","","","","","","","","","",""
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","302","ASSISTENCIA HOSPITALAR E AMBULATORIAL","157D","IMPLANTACAO DO HOSPITAL UNIVERSITARIO DA UNIVERSIDADE FEDERA","4.461.540,03","0,00","3.147.153,20","","49.881,39","931.714,82","179.329,94","97.188,31","258.833,50","9.652.638,27","513.327,59","3.206.572,20","3.361.407,09","11.635.679,40","2.696.970,45","","","","","","","","","846.888,59","0,00","0,00","0,00"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","361","ENSINO FUNDAMENTAL","0509","APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA","","","","","","","","","","","","","","","2.128.500,00","","","","","","","","","","","",""
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","364","ENSINO SUPERIOR","8282","REESTRUTURACAO E EXPANSAO DE INSTITUICOES FEDERAIS DE ENSINO","78.937,62","5.508.060,50","4.219.569,32","2.080.784,14","113.060,40","363.020,05","932.548,86","573.796,36","2.180.732,42","298.800,00","9.046.912,84","6.596.131,77","5.928.270,24","280.692,03","12.161.764,49","","","","","","","","","","","","408.116,48"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","365","EDUCACAO INFANTIL","12KU","APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL","213.732,98","26.967.138,49","3.522.116,00","","282.241,85","52.588.076,78","1.168.651,93","34.367.233,04","1.743.988,44","53.553.215,89","55.507.053,79","472.592,78","38.616.529,82","6.200.153,78","144.022.256,56","51.677.689,38","44.484.572,66","40.549.497,07","9.412.891,34","13.906.380,25","43.273.124,43","2.152.123,66","25.412.543,46","15.396.943,49","6.639.755,95","5.256.496,49","229.625.739,04"
