uf;municipio;data;eleitores
MG;ponte_nova;2010-02-26;43814
MG;prudente_de_morais;2015-12-18;7909
MG;romaria;2015-12-18;3276
MG;santa_barbara_do_monte_verde;2015-12-18;3309
MG;santa_efigenia_de_minas;2012-02-29;3878
MG;santa_rita_de_jacutinga;2015-12-18;4560
MG;santa_rita_do_itueto;2012-02-29;4987
MG;santana_de_cataguases;2015-12-18;3228
MG;santo_antonio_do_rio_abaixo;2012-01-31;1791
MG;santo_hipolito;2015-12-18;3119
MG;sao_bento_abade;2015-03-07;3990
MG;sao_domingos_das_dores;2015-12-18;5107
MG;sao_joao_del_rei;2010-02-26;64850
MG;sao_sebastiao_da_vargem_alegre;2015-12-18;2750
MG;sao_thome_das_letras;2015-12-18;5285
MG;senador_cortes;2015-12-18;2417
MG;senador_firmino;2013-08-30;6471
MG;senador_jose_bento;2015-02-13;2414
MG;senhora_de_oliveira;2015-12-18;5352
MG;seritinga;2015-12-18;1854
MG;serranos;2015-12-18;1951
MG;taparuba;2015-12-18;3149
MG;tapira;2013-05-31;4211
MG;tapirai;2015-12-18;2150
MG;umburatiba;2012-01-31;2476
MG;uniao_de_minas;2015-02-23;3479
MG;uruana_de_minas;2015-12-18;3105
MG;vieiras;2015-12-18;3566
MS;bandeirantes;2013-10-04;5695
MS;bonito;2015-12-18;16202
MS;camapua;2012-03-30;11404
MS;fatima_do_sul;2008-04-01;13794
MS;jaraguari;2013-10-04;5462
MS;jatei;2012-02-24;3448
MS;ribas_do_rio_pardo;2012-03-30;12565
MS;sidrolandia;2012-03-30;26679
MS;vicentina;2012-03-30;4625
MT;acorizal;2011-11-16;4996
MT;araguaiana;2013-05-31;2838
MT;araguainha;2015-10-07;886
MT;campo_verde;2010-12-08;24015
MT;campos_de_julio;2014-02-28;4106
MT;chapada_dos_guimaraes;2012-01-27;13809
MT;cocalinho;2013-06-14;4872
MT;indiavai;2013-07-19;2082
MT;jaciara;2016-03-31;19714
MT;jangada;2011-12-09;6285
MT;lucas_do_rio_verde;2013-11-21;33333
MT;luciara;2013-07-31;1984
MT;nobres;2013-06-28;11458
MT;nortelandia;2015-10-15;4974
MT;nossa_senhora_do_livramento;2011-12-19;10905
MT;nova_brasilandia;2015-10-29;3461
MT;nova_mutum;2016-03-31;24662
MT;planalto_da_serra;2013-05-09;2259
MT;pocone;2013-10-31;23200
MT;ponte_branca;2011-12-17;1610
MT;pontes_e_lacerda;2013-11-14;29649
MT;primavera_do_leste;2016-02-26;39637
MT;ribeiraozinho;2015-08-28;1915
MT;rondonopolis;2014-03-28;139260
MT;rosario_oeste;2013-09-28;13628
MT;santo_antonio_do_leverger;2012-01-27;13886
MT;serra_nova_dourada;2013-06-14;1451
MT;torixoreu;2015-10-29;3260
MT;vale_de_sao_domingos;2011-12-07;2824
PA;afua;2015-08-29;23119
PA;ananindeua;2014-01-25;278728
PA;barcarena;2014-03-01;70802
PA;belterra;2016-03-26;13743
PA;braganca;2015-11-28;78654
