DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUNICIPIO;NOME_MUNICIPIO;NUMERO_ZONA;CODIGO_CARGO;DESCRICAO_CARGO;QTD_APTOS;QTD_SECOES;QTD_SECOES_AGREGADAS;QTD_APTOS_TOT;QTD_SECOES_TOT;QTD_COMPARECIMENTO;QTD_ABSTENCOES;QTD_VOTOS_NOMINAIS;QTD_VOTOS_BRANCOS;QTD_VOTOS_NULOS;QTD_VOTOS_LEGENDA;QTD_VOTOS_ANULADOS_APU_SEP;DATA_ULT_TOTALIZACAO;HORA_ULT_TOTALIZACAO;TRANSITO;QTD_VOTOS_ANULADOS
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70572;70572;SANTO ANDRÉ;308;13;VEREADOR;42745;118;0;42745;118;32845;9900;20407;2268;5675;4495;0;05/06/2017;15:33:26;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;68918;68918;PITANGUEIRAS;98;13;VEREADOR;26651;76;0;26651;76;20805;5846;17999;702;762;1342;0;02/10/2016;18:30:36;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71072;71072;SÃO PAULO;3;11;PREFEITO;80392;228;0;80392;228;56124;24268;48714;2501;4909;0;0;02/10/2016;21:53:43;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70351;70351;SANTA GERTRUDES;245;13;VEREADOR;16656;53;0;16656;53;14679;1977;13163;330;450;736;0;02/10/2016;19:12:45;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71072;71072;SÃO PAULO;253;11;PREFEITO;219061;666;0;219061;666;171495;47566;146527;6379;18589;0;0;02/10/2016;21:53:43;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61131;61131;AGUDOS;7;13;VEREADOR;29502;86;2;29502;86;24052;5450;21212;692;937;1211;0;02/10/2016;18:47:34;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61590;61590;ARAMINA;50;11;PREFEITO;4707;12;2;4707;12;4129;578;4012;30;87;0;0;02/10/2016;17:46:15;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66494;66494;LUCÉLIA;69;11;PREFEITO;14956;46;2;14956;46;11196;3760;10175;357;664;0;0;02/10/2016;17:46:23;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69051;69051;PONTAL;135;13;VEREADOR;27828;79;0;27828;79;22408;5420;19478;792;886;1252;0;31/10/2016;12:54:26;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61999;61999;BARBOSA;289;11;PREFEITO;5582;17;0;5582;17;4579;1003;4370;59;150;0;0;02/10/2016;18:53:29;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;72273;72273;VALPARAÍSO;146;13;VEREADOR;16137;42;0;16137;42;13052;3085;11985;216;227;624;0;02/10/2016;18:12:32;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62405;62405;PAULISTÂNIA;7;13;VEREADOR;1881;5;0;1881;5;1652;229;1503;14;49;86;0;02/10/2016;18:48:05;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;68136;68136;PARAIBUNA;84;13;VEREADOR;14513;39;0;14513;39;11609;2904;10184;302;305;818;0;02/10/2016;17:43:39;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64955;64955;IBIÚNA;191;13;VEREADOR;59443;166;1;59443;166;46642;12801;39199;2059;2381;3003;0;02/10/2016;20:08:13;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66435;66435;LINS;297;11;PREFEITO;35271;104;0;35271;104;27109;8162;23276;1574;2259;0;0;02/10/2016;18:41:10;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;71455;71455;SOROCABA;342;11;PREFEITO;80648;214;1;80648;214;63024;17624;54779;1913;6332;0;0;30/10/2016;19:47:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÃO SUPLEMENTAR  CAFELÂNDIA;SP;62774;62774;CAFELÂNDIA;31;11;PREFEITO;13489;38;1;13489;38;9970;3519;9633;125;212;0;0;02/04/2017;17:55:13;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70572;70572;SANTO ANDRÉ;307;13;VEREADOR;85488;239;0;85488;239;67224;18264;46185;4307;11414;5318;0;05/06/2017;15:33:26;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61395;61395;ANALÂNDIA;245;13;VEREADOR;4454;16;0;4454;16;3862;592;3494;77;90;201;0;03/12/2016;09:09:57;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69590;69590;RIBEIRÃO BONITO;107;11;PREFEITO;9091;25;0;9091;25;7282;1809;6531;226;525;0;0;02/10/2016;18:06:49;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62278;62278;BILAC;210;11;PREFEITO;6163;17;1;6163;17;5230;933;5010;79;141;0;0;02/10/2016;17:46:17;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66150;66150;JOSÉ BONIFÁCIO;64;13;VEREADOR;26022;70;5;26022;70;21324;4698;18902;772;470;1180;0;02/10/2016;18:18:49;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70831;70831;SÃO JOÃO DA BOA VISTA;122;13;VEREADOR;67812;186;0;67812;186;52644;15168;41917;3764;4254;2709;0;21/10/2016;14:06:55;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;65714;65714;ITATINGA;26;11;PREFEITO;14263;42;3;14263;42;11553;2710;6233;221;5099;0;0;23/03/2017;14:18:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62162;62162;QUADRA;140;11;PREFEITO;3206;10;0;3206;10;2730;476;2606;25;99;0;0;02/10/2016;19:21:38;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;70572;70572;SANTO ANDRÉ;263;11;PREFEITO;64011;175;0;64011;175;48346;15665;39889;1962;6495;0;0;30/10/2016;19:47:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71072;71072;SÃO PAULO;352;13;VEREADOR;200999;590;1;200999;590;161569;39430;100407;19137;22973;19052;0;16/12/2016;15:04:27;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64297;64297;FRANCO DA ROCHA;192;11;PREFEITO;97909;258;6;97909;258;78354;19555;63550;4892;9912;0;0;02/10/2016;20:13:37;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67415;67415;MORUNGABA;58;11;PREFEITO;9962;27;0;9962;27;8494;1468;7820;203;471;0;0;02/10/2016;19:04:00;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70157;70157;SANTA ALBERTINA;152;11;PREFEITO;4949;14;0;4949;14;4207;742;4059;44;104;0;0;02/10/2016;18:39:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;63398;63398;CLEMENTINA;25;11;PREFEITO;5515;15;1;5515;15;4760;755;4575;43;142;0;0;02/10/2016;19:39:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61611;61611;ARANDU;301;13;VEREADOR;5795;16;0;5795;16;4962;833;4406;115;131;310;0;02/10/2016;18:39:39;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67890;67890;OSASCO;213;11;PREFEITO;26113;76;0;26113;76;19163;6950;12404;1121;5638;0;0;29/10/2016;11:28:37;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69698;69698;RIBEIRÃO PRETO;293;11;PREFEITO;72003;212;8;72003;212;54622;17381;40923;3739;9960;0;0;02/10/2016;20:23:57;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;65617;65617;ITAPURA;88;13;VEREADOR;4050;11;1;4050;11;3257;793;2964;56;65;172;0;02/10/2016;20:30:29;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66591;66591;LUTÉCIA;12;11;PREFEITO;2656;8;0;2656;8;2327;329;2218;31;78;0;0;02/10/2016;17:38:19;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;68977;68977;POÁ;219;11;PREFEITO;93520;256;0;93520;256;75692;17828;62865;4302;8525;0;0;02/10/2016;19:21:30;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64777;64777;GUARULHOS;278;11;PREFEITO;87007;247;1;87007;247;70035;16972;56200;4194;9641;0;0;26/10/2016;14:52:34;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;70750;70750;SÃO BERNARDO DO CAMPO;296;11;PREFEITO;104363;283;1;104363;283;80778;23585;60841;4653;15284;0;0;30/10/2016;20:19:45;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69213;69213;PRAIA GRANDE;317;13;VEREADOR;97945;260;0;97945;260;73583;24362;59881;3718;6135;3849;0;25/01/2017;15:12:46;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71072;71072;SÃO PAULO;6;13;VEREADOR;157270;442;0;157270;442;117075;40195;81295;7596;11099;17085;0;16/12/2016;15:04:27;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62308;62308;GAVIÃO PEIXOTO;385;11;PREFEITO;3928;12;0;3928;12;3438;490;3312;40;86;0;0;02/10/2016;18:42:28;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69035;69035;PONGAÍ;95;13;VEREADOR;3307;9;0;3307;9;2988;319;2796;13;41;138;0;02/10/2016;18:28:59;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71072;71072;SÃO PAULO;252;11;PREFEITO;116434;332;0;116434;332;89762;26672;74482;4016;11264;0;0;02/10/2016;21:53:43;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;63355;63355;CHARQUEADA;244;11;PREFEITO;12856;37;3;12856;37;10671;2185;9857;289;525;0;0;02/10/2016;18:09:39;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61549;61549;VARGEM;298;11;PREFEITO;6964;20;0;6964;20;5498;1466;4809;268;421;0;0;21/12/2016;10:11:07;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64530;64530;GUAPIARA;37;13;VEREADOR;15894;48;1;15894;48;11779;4115;10208;373;303;895;0;02/10/2016;20:29:17;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62790;62790;CAIABU;167;13;VEREADOR;3699;12;1;3699;12;3222;477;2968;50;48;156;0;02/10/2016;18:32:53;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67610;67610;NOVA GRANADA;78;13;VEREADOR;15608;46;0;15608;46;11947;3661;9973;438;829;707;0;11/05/2017;16:06:28;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66176;66176;JÚLIO MESQUITA;31;11;PREFEITO;3985;12;0;3985;12;3432;553;3091;129;212;0;0;02/10/2016;18:31:18;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61930;61930;BALBINOS;95;13;VEREADOR;1571;5;0;1571;5;1316;255;1210;18;39;49;0;02/10/2016;18:20:48;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64459;64459;GUAIÇARA;67;13;VEREADOR;8628;25;1;8628;25;6979;1649;6249;223;162;345;0;02/10/2016;18:42:20;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;72338;72338;VÁRZEA PAULISTA;242;11;PREFEITO;84223;233;0;84223;233;68924;15299;54237;4872;9815;0;0;12/12/2016;15:06:36;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;66893;66893;MAUÁ;364;11;PREFEITO;72081;202;7;72081;202;55454;16627;40279;3350;11825;0;0;30/10/2016;19:41:45;N;0
